t,srcuser,srchost,dstuser,dsthost,size
2006-05-1110:15:08,barb,saturn,tricia,mars,58274
2006-05-1212:48:13,tricia,mars,gene,venus,194925
2006-05-1215:02:49,phil,mars,phil,saturn,1048
2006-05-1313:59:18,barb,saturn,tricia,venus,271
2006-05-1409:31:37,gene,venus,barb,mars,2291
2006-05-1411:52:17,phil,mars,tricia,saturn,5781
2006-05-1414:42:21,barb,venus,barb,venus,98151
2006-05-1417:03:01,tricia,saturn,phil,venus,2394482
2006-05-1507:17:48,gene,mars,gene,saturn,3824
2006-05-1508:50:57,phil,venus,phil,venus,978
2006-05-1510:25:52,gene,mars,tricia,saturn,998532
2006-05-1517:35:31,gene,saturn,gene,mars,3856
2006-05-1609:00:28,gene,venus,barb,mars,613
2006-05-1623:04:19,phil,venus,barb,venus,10294
2006-05-1712:49:23,phil,mars,tricia,saturn,873
2006-05-1922:21:51,gene,saturn,gene,venus,23992
